Mesh,Particle size,Peso,Concentration
10,2000,0,0
30,600,485.1,0.35
60,250,627.1,0.25
100,150,379.5,0.50
140,106,166.1,1.00
200,75,132.3,1.36
270,53,55.4,2.04
400,38,24.5,0.56
-400,18,130,1.24
