Mesh,Particle size,Peso,Concentration
10,2000,0,0
30,1300,688.9,0.12
60,425,634.4,0.24
100,200,108.1,1.23
140,128,264.8,0.2
200,90.5,70.5,2.18
270,64,48.6,1.29
400,45.5,28.2,1.84
-400,19,156.5,0.83
