,Mesh,Tamaño partícula[um],Peso[g],Recuperación[%],Ley [g/ton],Contenido [g],Recuperacion_acumulada
0,10,2000,0.0,0.0,0.0,0.0,0.0
1,30,600,485.1,14.760396218640079,0.11666666666666665,5.6594999999999996e-05,14.760396218640079
2,60,250,627.1,13.629361352164787,0.08333333333333333,5.2258333333333334e-05,28.389757570804868
3,100,150,379.5,16.496069632105048,0.16666666666666666,6.325e-05,44.885827202909915
4,140,106,166.1,14.44003776491514,0.3333333333333333,5.536666666666666e-05,59.325864967825055
5,200,75,132.3,15.642186122610788,0.45333333333333337,5.9976e-05,74.96805109043584
6,270,53,55.4,9.82513731510927,0.68,3.7672e-05,84.79318840554511
7,400,38,24.5,1.1927592903951578,0.18666666666666668,4.573333333333333e-06,85.98594769594027
8,-400,18,130.0,14.01405230405973,0.41333333333333333,5.3733333333333336e-05,100.0
