,Mesh,Tamaño partícula[um],Peso[g],Recuperación[%],Ley [g/ton],Contenido [g],Recuperacion_acumulada
0,10,2000,0.0,0.0,0.0,0.0,0.0
1,30,600,437.72,13.920284333542376,0.16666666666666666,7.295333333333334e-05,13.920284333542376
2,60,250,879.5,32.444833415806,0.19333333333333333,0.00017003666666666665,46.36511774934838
3,100,150,413.5,28.40409658079756,0.36000000000000004,0.00014886,74.76921433014594
4,140,106,123.1,4.854354111782057,0.20666666666666667,2.5440666666666665e-05,79.623568441928
5,200,75,68.4,10.397662440419328,0.7966666666666667,5.449200000000001e-05,90.02123088234733
6,270,53,29.6,7.455359811936869,1.32,3.9072e-05,97.4765906942842
7,400,38,11.3,0.6468486323317462,0.3,3.39e-06,98.12343932661594
8,-400,18,36.88,1.8765606733840552,0.26666666666666666,9.834666666666667e-06,99.99999999999999
