Mesh,Particle size,Peso,Concentration
10,2000,0,0
30,600,437.72,0.5
60,250,879.5,0.58
100,150,413.5,1.08
140,106,123.1,0.62
200,75,68.4,2.39
270,53,29.6,3.96
400,38,11.3,0.9
-400,18,36.88,0.8
